Match,Team,Time,Player,Action_Type,Yellow_Card,Red_Card,Full_Text
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,1',Joe Lolley,Shot,0,0,Attempt blocked. Joe Lolley (Nottingham Forest) left footed shot from the centre of the box is blocked. Assisted by Sammy Ameobi.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,1',None,Corner,0,0,"Corner,  Nottingham Forest. Conceded by Greg Cunningham."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,7',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Matthew Cash."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,9',Adam Armstrong,Shot,0,0,Attempt saved. Adam Armstrong (Blackburn Rovers) right footed shot from outside the box is saved in the centre of the goal. Assisted by Stewart Downing.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,9',Samba Sow,Foul,0,0,Foul by Samba Sow (Nottingham Forest).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,9',Sam Gallagher,FreeKick,0,0,Sam Gallagher (Blackburn Rovers) wins a free kick in the defensive half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,15',Lewis Grabban,Foul,0,0,Hand ball by Lewis Grabban (Nottingham Forest).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,17',None,Offside,0,0,"Offside, Blackburn Rovers. Elliott Bennett tries a through ball, but Sam Gallagher is caught offside."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,21',Darragh Lenihan,Foul,0,0,Foul by Darragh Lenihan (Blackburn Rovers).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,21',Yuri Ribeiro,FreeKick,0,0,Yuri Ribeiro (Nottingham Forest) wins a free kick on the left wing.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,22',Darragh Lenihan,Foul,1,0,Darragh Lenihan (Blackburn Rovers) is shown the yellow card for a bad foul.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,23',Samba Sow,Shot,0,0,Attempt blocked. Samba Sow (Nottingham Forest) header from the centre of the box is blocked. Assisted by Joe Lolley with a cross.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,23',None,Corner,0,0,"Corner,  Nottingham Forest. Conceded by Darragh Lenihan."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,25',Samba Sow,Foul,0,0,Foul by Samba Sow (Nottingham Forest).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,25',Lewis Travis,FreeKick,0,0,Lewis Travis (Blackburn Rovers) wins a free kick in the attacking half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,26',Bradley Dack,FreeKick,0,0,Bradley Dack (Blackburn Rovers) wins a free kick in the attacking half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,26',Joe Lolley,Foul,0,0,Foul by Joe Lolley (Nottingham Forest).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,27',Bradley Dack,Shot,0,0,Attempt missed. Bradley Dack (Blackburn Rovers) right footed shot from the centre of the box misses to the right. Assisted by Greg Cunningham.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,28',Lewis Grabban,Shot,0,0,Attempt saved. Lewis Grabban (Nottingham Forest) right footed shot from outside the box is saved in the top centre of the goal.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,28',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Matthew Cash."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,29',Bradley Dack,Shot,0,0,Attempt missed. Bradley Dack (Blackburn Rovers) right footed shot from outside the box is high and wide to the right following a corner.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,31',Sammy Ameobi,Shot,0,0,Attempt blocked. Sammy Ameobi (Nottingham Forest) left footed shot from outside the box is blocked. Assisted by Matthew Cash.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,32',Darragh Lenihan,Foul,0,0,Foul by Darragh Lenihan (Blackburn Rovers).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,32',Sammy Ameobi,FreeKick,0,0,Sammy Ameobi (Nottingham Forest) wins a free kick in the attacking half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,33',Adam Armstrong,FreeKick,0,0,Adam Armstrong (Blackburn Rovers) wins a free kick in the defensive half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,33',Sammy Ameobi,Foul,0,0,Foul by Sammy Ameobi (Nottingham Forest).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,33',Sammy Ameobi,Foul,1,0,Sammy Ameobi (Nottingham Forest) is shown the yellow card for a bad foul.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,34',Matthew Cash,Foul,0,0,Hand ball by Matthew Cash (Nottingham Forest).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,42',Yuri Ribeiro,Shot,0,0,Attempt missed. Yuri Ribeiro (Nottingham Forest) left footed shot from outside the box is too high.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,44',Derrick Williams,FreeKick,0,0,Derrick Williams (Blackburn Rovers) wins a free kick in the attacking half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,44',Lewis Grabban,Foul,0,0,Foul by Lewis Grabban (Nottingham Forest).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,45',Stewart Downing,Shot,0,0,Attempt blocked. Stewart Downing (Blackburn Rovers) right footed shot from outside the box is blocked. Assisted by Danny Graham.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,45',Lewis Travis,Foul,0,0,Foul by Lewis Travis (Blackburn Rovers).
2019-10-01 - Blackburn Rovers - Nottingham Forest,Nottingham Forest,45',Yuri Ribeiro,FreeKick,0,0,Yuri Ribeiro (Nottingham Forest) wins a free kick in the attacking half.
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,45'+2',None,Other,0,0,"First Half ends, Blackburn Rovers 0, Nottingham Forest 0."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,45',None,Other,0,0,"Second Half begins Blackburn Rovers 0, Nottingham Forest 0."
2019-10-01 - Blackburn Rovers - Nottingham Forest,Blackburn Rovers,46',None,Corner,0,0,"Corner,  Blackburn Rovers. Conceded by Matthew Cash."
