subject,relation,object,timestamp
joe_lolley,PLAYS_FOR,nottingham_forest,1'
joe_lolley,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,1'
event_0001,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,1'
nottingham_forest,INVOLVED_IN,event_0001,1'
joe_lolley,PERFORMED,event_0001,1'
event_0001,ASSISTED_BY,sammy_ameobi,1'
event_0002,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,1'
event_0002,PRECEDED_BY,event_0001,1'
nottingham_forest,INVOLVED_IN,event_0002,1'
event_0003,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,7'
event_0003,PRECEDED_BY,event_0002,7'
blackburn_rovers,INVOLVED_IN,event_0003,7'
adam_armstrong,PLAYS_FOR,blackburn_rovers,9'
adam_armstrong,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,9'
event_0004,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,9'
event_0004,PRECEDED_BY,event_0003,9'
blackburn_rovers,INVOLVED_IN,event_0004,9'
adam_armstrong,PERFORMED,event_0004,9'
event_0004,ASSISTED_BY,stewart_downing,9'
samba_sow,PLAYS_FOR,nottingham_forest,9'
samba_sow,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,9'
event_0005,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,9'
event_0005,PRECEDED_BY,event_0004,9'
nottingham_forest,INVOLVED_IN,event_0005,9'
samba_sow,PERFORMED,event_0005,9'
sam_gallagher,PLAYS_FOR,blackburn_rovers,9'
sam_gallagher,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,9'
event_0006,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,9'
event_0006,PRECEDED_BY,event_0005,9'
blackburn_rovers,INVOLVED_IN,event_0006,9'
sam_gallagher,PERFORMED,event_0006,9'
lewis_grabban,PLAYS_FOR,nottingham_forest,15'
lewis_grabban,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,15'
event_0007,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,15'
event_0007,PRECEDED_BY,event_0006,15'
nottingham_forest,INVOLVED_IN,event_0007,15'
lewis_grabban,PERFORMED,event_0007,15'
event_0008,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,17'
event_0008,PRECEDED_BY,event_0007,17'
blackburn_rovers,INVOLVED_IN,event_0008,17'
darragh_lenihan,PLAYS_FOR,blackburn_rovers,21'
darragh_lenihan,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,21'
event_0009,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,21'
event_0009,PRECEDED_BY,event_0008,21'
blackburn_rovers,INVOLVED_IN,event_0009,21'
darragh_lenihan,PERFORMED,event_0009,21'
yuri_ribeiro,PLAYS_FOR,nottingham_forest,21'
yuri_ribeiro,PARTICIPATED_IN,2019_10_01_blackburn_rovers_nottingham_forest,21'
event_0010,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,21'
event_0010,PRECEDED_BY,event_0009,21'
nottingham_forest,INVOLVED_IN,event_0010,21'
yuri_ribeiro,PERFORMED,event_0010,21'
event_0011,IN_MATCH,2019_10_01_blackburn_rovers_nottingham_forest,22'
event_0011,PRECEDED_BY,event_0010,22'
